nr_topics,actual_topics,outlier_rate,coherence_cv,diversity,noise_topic_rate,combined_score
10,9,0.2211690363349131,0.46834014962441395,0.8444444444444444,0.2222222222222222,0.23956932709787368
15,14,0.2401263823064771,0.5527862600961697,0.8642857142857143,0.2857142857142857,0.2593151588149819
20,19,0.23064770932069512,0.5404000852502593,0.8578947368421053,0.15789473684210525,0.3003592735100468
25,24,0.22274881516587677,0.5378597114013134,0.8333333333333334,0.20833333333333334,0.2757982590716319
30,29,0.22748815165876776,0.5215340134730133,0.8379310344827586,0.20689655172413793,0.2677477934821497
35,34,0.2480252764612954,0.5373793741683083,0.8441176470588235,0.20588235294117646,0.27087695746688556
40,33,0.1895734597156398,0.54898655041796,0.8272727272727273,0.2727272727272727,0.267683356266621
